[2018-04-26 13:53:33,053] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=68 HTTP/1.1" 200 None
[2018-04-26 13:53:33,266] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=68#page:200
[2018-04-26 13:53:34,246] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=69 HTTP/1.1" 200 None
[2018-04-26 13:53:34,565] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=69#page:200
[2018-04-26 13:53:35,520] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=70 HTTP/1.1" 200 None
[2018-04-26 13:53:35,801] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=70#page:200
[2018-04-26 13:53:36,957] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=71 HTTP/1.1" 200 None
[2018-04-26 13:53:37,387] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=71#page:200
[2018-04-26 13:53:38,444] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=72 HTTP/1.1" 200 None
[2018-04-26 13:53:38,762] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=72#page:200
[2018-04-26 13:53:39,971] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=73 HTTP/1.1" 200 None
[2018-04-26 13:53:40,160] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=73#page:200
[2018-04-26 13:53:41,233] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=74 HTTP/1.1" 200 None
[2018-04-26 13:53:41,520] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=74#page:200
[2018-04-26 13:53:42,663] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=75 HTTP/1.1" 200 None
[2018-04-26 13:53:43,055] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=75#page:200
[2018-04-26 13:53:44,194] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=76 HTTP/1.1" 200 None
[2018-04-26 13:53:44,637] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=76#page:200
[2018-04-26 13:53:45,701] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=77 HTTP/1.1" 200 None
[2018-04-26 13:53:45,973] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=77#page:200
[2018-04-26 13:53:47,176] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=78 HTTP/1.1" 200 None
[2018-04-26 13:53:47,368] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=78#page:200
[2018-04-26 13:53:48,483] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=79 HTTP/1.1" 200 None
[2018-04-26 13:53:48,671] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=79#page:200
[2018-04-26 13:53:50,415] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=80 HTTP/1.1" 200 None
[2018-04-26 13:53:50,671] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=80#page:200
[2018-04-26 13:53:52,303] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=81 HTTP/1.1" 200 None
[2018-04-26 13:53:52,711] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=81#page:200
[2018-04-26 13:53:54,243] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=82 HTTP/1.1" 200 None
[2018-04-26 13:53:54,607] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=82#page:200
[2018-04-26 13:53:56,296] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=83 HTTP/1.1" 200 None
[2018-04-26 13:53:56,493] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=83#page:200
[2018-04-26 13:53:58,063] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=84 HTTP/1.1" 200 None
[2018-04-26 13:53:58,306] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=84#page:200
[2018-04-26 13:53:59,924] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=85 HTTP/1.1" 200 None
[2018-04-26 13:54:00,187] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=85#page:200
[2018-04-26 13:54:02,118] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=86 HTTP/1.1" 200 None
[2018-04-26 13:54:02,440] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=86#page:200
[2018-04-26 13:54:03,822] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=87 HTTP/1.1" 200 None
[2018-04-26 13:54:03,979] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=87#page:200
